wave,n,α_k,rmse_7,mae_7,mape_7,r2_7,lmse_7,aic_7,bic_7,rmse_8i,mae_8i,mape_8i,r2_8i,lmse_8i,aic_8i,bic_8i,rmse_8f,mae_8f,mape_8f,r2_8f,lmse_8f,aic_8f,bic_8f,LRT_Lambda,LRT_pval,ΔAIC_int_vs_frac,ΔBIC_int_vs_frac,ΔAIC_7_vs_8f,ΔBIC_7_vs_8f
1,112,1.0,8.648072577091257,6.127593478676855,17.11888906744828,0.8424273922069478,0.0377213511835195,-357.0832480504217,-343.4907536939462,8.43123232643748,5.995174354808452,16.520028459043328,0.8502302225389105,0.034678648892768955,-366.50268175424185,-352.9101873977664,8.431232325370209,5.995174354214636,16.52002846610216,0.8502302225768278,0.03467864888826843,-364.502681768777,-348.19168854100644,1.4535132208948198e-8,0.9999038040402118,-1.9999999854648536,-4.718498856759936,7.419433718355322,4.700934847060239
2,24,1.0,1.9103162087420147,1.621757969817866,5.668756687812262,0.5519465193550694,0.004056116795967504,-122.1807012141889,-116.29043206244917,1.8300669038076744,1.522446033767577,5.302075867286607,0.588799846403554,0.0036911256785519993,-124.44377133232211,-118.55350218058238,1.8300025975841678,1.5234411380468273,5.306134917404917,0.5888287439966924,0.0036916999107717264,-122.44003791802578,-115.3717149359381,0.0,1.0,-2.0037334142963346,-3.1817872446442834,0.2593367038368797,-0.9187171265110692
3,269,0.7386,90.29065618814083,65.5055995322894,51.30143121223839,0.14516916538707947,0.3140325191526287,-301.57159951484704,-283.59804261683786,90.51911441685253,65.7161309222703,51.57666941734062,0.1408378155635055,0.3163330200468866,-299.60817528100034,-281.63461838299116,83.9780612781751,59.5101895921522,48.13990790590681,0.26052031216680804,0.27980895323127114,-330.6113707981635,-309.04310252055245,33.00319551716314,9.228206421241225e-9,31.003195517163135,27.408484137561288,29.03977128331644,25.445059903714593
4,93,1.0,17.899314069294203,14.988650556853228,18.39535266021046,0.7476529792198343,0.04399212448215836,-280.5082524617349,-267.8452549959686,17.835600974480343,14.863964370805915,18.16555733631817,0.7494462540792666,0.042867267618843706,-282.9171465263884,-270.2541490606221,17.835600976243555,14.863964372487722,18.165557337932153,0.7494462540297275,0.042867267628055934,-280.9171465064026,-265.72154954748305,0.0,1.0,-2.000000019985805,-4.5325995131390755,0.4088940446677043,-2.123705448485566
5,128,1.0,40.54068065512259,35.771445398176894,19.517643693923223,0.6677361869305813,0.045614956027817725,-385.2025130457992,-370.9423617262011,40.49203415018111,35.60846370919517,19.333582331197704,0.6685331037726395,0.044809551477199845,-387.4827468377059,-373.2225955181078,40.49203415027945,35.60846370923,19.33358233115658,0.6685331037710296,0.044809551477116245,-385.4827468379447,-368.370565254427,2.3879920263425447e-10,0.9999876691082197,-1.9999999997612008,-4.852030263680831,0.28023379214550914,-2.571796471774121
6,176,1.0,205.9858213912981,119.20691141414164,44.63169959998996,0.4158163421032275,0.27294710269386474,-218.53199874521175,-202.679578770021,206.47430114066046,119.5244804372015,44.846605892185806,0.4130423624002091,0.27451156803009324,-217.5260903052503,-201.67367033005957,206.4743011382752,119.5244804358064,44.8466058915655,0.41304236241377057,0.2745115680199345,-215.52609031176345,-196.50318634153456,6.513165118349207e-9,0.9999356059686583,-1.9999999934868526,-5.170483988525007,-3.0059084334482975,-6.1763924284864515
7,191,0.9629,44.63822600329219,28.31643175276405,41.51668985484107,0.7220892262495064,0.18134898376058484,-316.10041524993323,-299.8390481097001,45.42066042893667,28.911717747537278,42.34008378545662,0.7122612057655113,0.18888906133382324,-308.31972394616287,-292.05835680592975,42.603344144569654,26.80413630633776,39.817786055098786,0.7468494293794612,0.1675019463969469,-329.2712187333119,-309.75757816503216,22.951494787149073,1.6635344810556063e-6,20.951494787149045,17.69922135910241,13.170803483378677,9.918530055332042
8,227,0.9643,2.7835412734868727,1.8731883686690907,15.807297535658948,0.9723698724365086,0.025741667978478516,-820.7392510798861,-803.6145009924791,2.936021527716315,1.9548306435008687,16.51271920389429,0.9692598465797614,0.028956065008222426,-794.0284606290061,-776.903710541599,2.46283804254964,1.7621786436666318,13.865104521509336,0.9783698631998917,0.018937530853427358,-888.4203715932276,-867.8706714883392,96.39191096422155,0.0,94.39191096422155,90.96696094674019,67.68112051334151,64.25617049586015
9,316,0.8002,15.453124333022616,7.8716950162488875,60.509246304597696,0.46199479403331034,0.32661041733160534,-343.59995603878116,-324.8212449708466,15.712828948071087,7.992756079715973,61.742163265854636,0.4437594499287475,0.3384643974079317,-332.3342928207523,-313.5555817528177,10.448185122453522,5.0464181586044425,38.913433998694934,0.7540563589896621,0.13903739004629923,-611.4719148875872,-588.9374616060658,281.1376220668349,0.0,279.1376220668349,275.38187985324805,267.87195884880606,264.1162166352192
10,542,0.9057,1.1300524372466425,0.6082656601751959,18.881406478079068,0.8713218014935289,0.03873909445953978,-1751.9910498833622,-1730.514719876164,1.1469254954071364,0.6163539869405106,19.091872535276142,0.8674504696064399,0.03964768681870193,-1739.425688554968,-1717.9493585477699,0.8691748210529308,0.5080544403884658,18.408919035937643,0.9238759206565021,0.03169956698743302,-1858.6871237788866,-1832.9155277702487,121.26143522391861,0.0,119.26143522391862,114.96616922247881,106.69607389552448,102.40080789408466
